﻿﻿﻿﻿﻿﻿﻿﻿Title,PostURL,CompanyName,CompanyURL,Expire Date,Location,Career Requirement,Education Requirement,Job Type
"파이썬 개발자, 보고 싶습니다.",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45148972&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,(주)더블엑스소프트,https://www.saramin.co.kr/zf_user/company-info/view?csn=NzhNKzdrVEZRdVFFa0VSLzNTSVhTZz09,채용시,서울 강남구,경력 3~5년,학력무관,정규직
Sr. Back-end Engineer (Python),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=43919131&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,"(주)브레이브모바일(숨고, Soomgo)",https://www.saramin.co.kr/zf_user/company-info/view?csn=b1NWdXFrd1BWbm9CU0VzM0hjUzNzdz09,상시채용,서울전체,경력 7~20년,학력무관,정규직
백엔드 엔지니어 (Python),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41414828&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,(주)피플펀드컴퍼니,https://www.saramin.co.kr/zf_user/company-info/view?csn=a2I3Zk0vU1ExWmgvYnpKL0VRQ3N3Zz09,상시채용,서울전체,경력 5~10년,초대졸↑,정규직
[경력] 서버 엔지니어 (Python),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44768051&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,(주)페이히어,https://www.saramin.co.kr/zf_user/company-info/view?csn=cUxkWEJNNk5zdmNIYm5sYWNCbjlLQT09,상시채용,서울전체,경력 3~15년,학력무관,정규직
"(주)바이오커넥트 - [신입 및 경력] 영상처리 알고리즘 개발(Python,딥러닝)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=43750042&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,(주)바이오커넥트,https://www.saramin.co.kr/zf_user/company-info/view?csn=eWNDR0tYM2pFT2xyTlRHOURCTDFOZz09,상시채용,서울전체,신입·경력,대졸↑,정규직
[AI번역 서비스] 백엔드 개발자-Python,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45398586&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,브랜드미,https://www.saramin.co.kr/zf_user/company-info/view?csn=MitWeEtERUc5K1RXVEpYVDRWc3BNQT09,~ 04/18(화),서울 서초구,경력2년↑,학력무관,정규직
[휴레이] 파이썬 백엔드 개발자 (Python Backend Engineer),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44909147&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,(주)휴레이포지티브,https://www.saramin.co.kr/zf_user/company-info/view?csn=VE5tT1hrSUdubnA2c25jRW9JRkNzQT09,상시채용,서울전체,경력 3~10년,학력무관,정규직
IT개발·데이터(Python/Linux) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45190604&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,(주)파워넥스,https://www.saramin.co.kr/zf_user/company-info/view?csn=bERVRGxXVksveCs5Q2VMZng1T0p1Zz09,~ 04/05(수),경기 시흥시,신입·경력,초대졸↑,정규직
소프트웨어개발자(S/W)개발 프로그래머(PYTHON) 정규직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45129762&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,(주)디에이치오션,https://www.saramin.co.kr/zf_user/company-info/view?csn=ZzdOZ3ZxMmVOWE1ReTJDMXQ1WWw0dz09,~ 04/24(월),부산 사상구,경력무관,대졸↑,정규직
"[패스오더] 백엔드 개발자 (Spring, Python, MSA)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41068534&location=ts&searchword=python&searchType=sear﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿ch&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,(주)페이타랩,https://www.saramin.co.kr/zf_user/company-info/view?csn=ekJOVENHa0p0TzdoaTVQVHVpY3Vydz09,상시채용,서울전체,경력 3~10년,학력무관,정규직
java & Python 빅데이터 과정 강사채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45172710&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,(주)하이미디어컴퓨터디자인학원,https://www.saramin.co.kr/zf_user/company-info/view?csn=TnNKTnE0UWo1R2hzUWlzdStMTFR3UT09,~ 05/01(월),경기 고양시 일산동구,경력무관,대졸↑,프리랜서
"Field Engineer(C++, Python, Java 사용 가능자)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45322705&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,(주)스카우트플랜,https://www.saramin.co.kr/zf_user/company-info/view?csn=ZU5Vc0tIVVd6UnJDNHFwd3hYTUh0dz09,내일마감,경기 성남시 분당구,경력 6~12년,학력무관,정규직
[웨이브릿지] Back End(Python) 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=43532911&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,(주)웨이브릿지,https://www.saramin.co.kr/zf_user/company-info/view?csn=RDJMWnpVRUhLcnI0NHljVGxkdlFMQT09,상시채용,서울 중구,경력 2~10년,학력무관,정규직
"Java,Python,JavaScript개발(팀장,파트장)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45363549&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,주식회사 핀커스에이치알지,https://www.saramin.co.kr/zf_user/company-info/view?csn=NmRvK3NzOWJPUmVZbGtqRG5qblhxQT09,~ 04/27(목),서울 강남구,경력3년↑,초대졸↑,정규직
응용 소프트웨어 개발자(PYTHON) 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45362957&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,(주)몽태랑인터내셔날,https://www.saramin.co.kr/zf_user/company-info/view?csn=blZncHlJQWRKUGFkb1FkYlhORC9FZz09,~ 04/27(목),경기 하남시,경력 4~5년,대졸↑,정규직
Vision/MFC/C# Python Tensorflow CUDA yolo v5 개발직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45347235&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,화랑,https://www.saramin.co.kr/zf_user/company-info/view?csn=U1F5UHdMRHdpN1U3MjlFMUJmTXJ6Zz09,~ 05/25(목),충남 천안시 동남구,경력무관,초대졸↑,정규직
MFC/C# Python Tensorflow CUDA yolo v5 개발직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45126289&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,화랑,https://www.saramin.co.kr/zf_user/company-info/view?csn=U1F5UHdMRHdpN1U3MjlFMUJmTXJ6Zz09,~ 04/24(월),충남 천안시 동남구,경력무관,초대졸↑,정규직
[정규직] 자바/파이썬 개발자 채용 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45216752&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,(주)링크프라이스,https://www.saramin.co.kr/zf_user/company-info/view?csn=b05xTU5GU3NVa25SWlQzUXRsaHZSUT09,~ 04/30(일),서울 금천구,신입·경력,학력무관,정규직
백엔드개발 (스택: Python/FastAPI/MongoDB/MysQL/Docker/Django,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45336608&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,(주)타날리시스,https://www.saramin.co.kr/zf_user/company-info/view?csn=TFYrVDJCd1ZVTUVBSjZXZ3FLYXVJdz09,~ 04/22(토),서울 강남구,경력1년↑,대졸↑,정규직
[경﻿﻿﻿﻿﻿﻿﻿﻿﻿력] 백엔드 개발자 2년차 이상 채용 모집 (Python/Django),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45124309&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,트레이디,https://www.saramin.co.kr/zf_user/company-info/view?csn=MXROLzlMQll4OGFqaU8yRjl0YXdIQT09,채용시,서울 금천구,경력 2~4년,고졸↑,정규직
파이썬(딥러닝) 개발자 모집 [신입],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45294097&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,신플렛(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=TE53V2Z3V2lGdlhtVGp6YVM4dG9LUT09,채용시,경기 용인시 수지구,신입,학력무관,정규직
파이썬 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45287312&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,(주)상상할수없는,https://www.saramin.co.kr/zf_user/company-info/view?csn=YzA3aXBCbVhYd1QrNG4zOUREUm54UT09,~ 04/16(일),서울 영등포구,경력무관,학력무관,계약직·인턴직
"(주)아이팩토리 백엔드 경력 개발자 (Python, FastAPI)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45366319&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,(주)아이팩토리,https://www.saramin.co.kr/zf_user/company-info/view?csn=M1kzT0NqV0Z3WXg3RTFVb0l3bHJPdz09,~ 04/05(수),서울 서초구,경력,대졸↑,정규직·프리랜서
백엔드 개발자 (Python),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44552252&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,아이엠에스모빌리티(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=SDhLQWlkMjgySWQySGVyZ0g5RHFpZz09,상시채용,서울전체,경력 2~10년,학력무관,정규직
"[송파구] 데이터분석(Python,R,모델,ML)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45345870&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,(주)시니어앤파트너즈,https://www.saramin.co.kr/zf_user/company-info/view?csn=K1kvQ0J4M1FzRlNqWDhHL3lGaGVhUT09,~ 04/08(토),서울 송파구,경력 3~5년,초대졸↑,정규직
[초/중급] 파이썬개발자 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45137650&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,주식회사 뱅크파트너,https://www.saramin.co.kr/zf_user/company-info/view?csn=Z2N5Sy8xTXkzOXYxRUtwOHhPdm9nQT09,채용시,서울 금천구,경력무관,학력무관,정규직
"회로설계, 펌웨어, 임베디드, C/C++,응용SW개발, 파이썬",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44981026&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,(주)더서울테크,https://www.saramin.co.kr/zf_user/company-info/view?csn=YU9yaE5odlowUHBISWFEWksyanpTZz09,내일마감,경기 파주시,경력무관,학력무관,정규직
"2023년 데이터분석, 개발 (Python/JAVA/SAS) 정규직 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45266265&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,(주)허브넷컴퍼니,https://www.saramin.co.kr/zf_user/company-info/view?csn=Z3d3Z2w5andYTEdyQ2R3OVdBT25Bdz09,~ 05/13(토),대전 유성구,신입·경력,대졸↑,정규직
Python Django 서버 개발자 경력자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45331629&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,주식회사 럽맘,https://www.saramin.c﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿o.kr/zf_user/company-info/view?csn=Qm9PWE00V3ZQNDFvMTJFRVMxems1Zz09,~ 04/22(토),서울 강서구,경력2년↑,학력무관,정규직
[YOIL] 웹 크롤링(스크래핑) 개발자(Python),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45314115&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,(주)요일,https://www.saramin.co.kr/zf_user/company-info/view?csn=SmVyRjlWMTNqdjhnMU9kbk5BMEZwUT09,~ 04/30(일),서울전체,경력 1~5년,학력무관,정규직
Python 백엔드 개발자(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44549878&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,(주)모두의연구소,https://www.saramin.co.kr/zf_user/company-info/view?csn=MXNjbmIvUCs4TGErVi9XMXcvMUtxUT09,상시채용,서울전체,경력 3~15년,학력무관,정규직
백엔드 엔지니어 모집(Python/Javascript),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44963459&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,(주)시스메틱,https://www.saramin.co.kr/zf_user/company-info/view?csn=K1Q5OGNiUTNSY05DWXlPZm5Eek5aQT09,오늘마감,서울 영등포구,경력2년↑,초대졸↑,정규직
"온라인쇼핑몰 개발직( 파이썬, 빅테이터, 머신러닝) 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45336108&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,치얼업코리아(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=c09FTEg5dk9STWxZRktRVDJaQVZ6Zz09,~ 05/22(월),전북 익산시,경력,초대졸↑,정규직
"(강남) Test automation engineer 모집(Python, Javascript)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45317889&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,(주)글로벌모터서비스,https://www.saramin.co.kr/zf_user/company-info/view?csn=MzhLdlZOVHNoSW1mbzg2R2JTa21WZz09,~ 04/20(목),서울 강남구,신입·경력,학력무관,정규직
[에이젠글로벌] Python Backend Engineer 직군 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45208631&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,(주)에이젠글로벌,https://www.saramin.co.kr/zf_user/company-info/view?csn=Z3lpN3dIUERiZ0tqOE5hZ3oxanZiZz09,~ 06/04(일),서울전체,경력 3~5년,대졸↑,정규직
2022 하반기 Python 경력무관 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45243973&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,영수컴퓨터,https://www.saramin.co.kr/zf_user/company-info/view?csn=K3A3dG1Ja01TaGEzQVdhY2x1dzh5Zz09,~ 04/11(화),서울 강북구,경력무관,학력무관,기간제·계약직
(주)지오앤 JAVA/파이썬 개발자 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45378952&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,(주)지오앤,https://www.saramin.co.kr/zf_user/company-info/view?csn=U1NJa1Nld0tkSlAyaksvQTdxeHlhZz09,~ 04/29(토),서울 금천구,경력무관,초대졸↑,정규직
Python 개발자 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45255818&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,(주)시큐어키,https://www.saramin.co.kr/zf_user/company-info/view?csn=cXgyRXI2ZDBwZmNobGFKeW10ZEo4Zz09,채용시,서울 금천구,경력무관,학력무관,정규직
"소프트웨어 개발자 (사용언어 C , python)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45356887&location=ts&searchword=python&searchType=search&paid_fl=n&﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,(주)엔엔에프텍,https://www.saramin.co.kr/zf_user/company-info/view?csn=M09UdTBXQmd2dnBweDVXUk42eVk2Zz09,~ 05/26(금),대전 유성구,신입,고졸↑,정규직
헬리오센(주) Python 응용S/W 개발자 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45088265&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ae60c9b1-9dd6-41b3-930d-bc904a34c89c,헬리오센(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=bFlYU0hCQTNiZGdHYURxUGVDZDE3QT09,채용시,경기 성남시 분당구,경력2년↑,초대졸↑,정규직
S/W개발부 신입 / 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45266315&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd4f424c-1658-4a0e-a60b-01df8546255d,(주)포인트모바일,https://www.saramin.co.kr/zf_user/company-info/view?csn=eDF1VzBmN0xqenZWWXhGcEJXL1BGZz09,~ 04/09(일),서울 금천구,신입·경력,대졸↑,정규직
AI/빅데이터 - Data Scientist 연구개발 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45220240&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd4f424c-1658-4a0e-a60b-01df8546255d,(주)비스텔리젼스,https://www.saramin.co.kr/zf_user/company-info/view?csn=ajQzUDR6UkxxVnVTTGlGVUtOczFYQT09,상시채용,서울전체,신입·경력,석사↑,정규직
슈잉과 함께 폭풍 성장할 데이터분석가 팀원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45312734&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd4f424c-1658-4a0e-a60b-01df8546255d,부산갈매기,https://www.saramin.co.kr/zf_user/company-info/view?csn=OFVHZ0pJYkRTSGNKeGM1a1RqSTkzQT09,채용시,부산 부산진구,경력무관,학력무관,정규직
기술개발자채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45074230&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd4f424c-1658-4a0e-a60b-01df8546255d,(주)휴먼엔텍(HUMANENTEC LTD),https://www.saramin.co.kr/zf_user/company-info/view?csn=Y1FjT0thRnVDN3NIckROTEtMbVZRdz09,채용시,대구 수성구,경력무관,대졸↑,정규직
"[울산] 데이터분석(이미지 및 영상 데이터 분석가, Data Scientist)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44865989&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd4f424c-1658-4a0e-a60b-01df8546255d,(주)인터엑스,https://www.saramin.co.kr/zf_user/company-info/view?csn=RkNKUHpoSTZXY0ZNeENqa0dKR3Nwdz09,상시채용,울산 중구,경력 2~5년,학력무관,정규직
2023상반기]Back-end 개발 경력자 및 기업홍보 PR 경력무관 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45282063&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=dd4f424c-1658-4a0e-a60b-01df8546255d,(주)스타칸,https://www.saramin.co.kr/zf_user/company-info/view?csn=T2V0RWJINk9vYTkwaEpQNXB1QW1XQT09,~ 04/16(일),부산 해운대구,경력무관,학력무관,정규직
